Date,Income/Expenses,Category,Memo,Amount
2020-07-09,Expenses,Food,"Double Mc.Spicy @Mc Donald's, Beauty World",-8.7
2020-07-08,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10
2020-07-07,Expenses,Drinks,"Chocolate Milk Tea @Each A Cup, Holland Village",-2
2020-07-07,Expenses,Health,"Vaporub + Pei Pa Khoa @Fairprice Finest, Clementi Mall, Clementi",-11.1
2020-07-07,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4
2020-07-06,Expenses,Entertainment,Top Up Steam Wallet,-41
2020-07-06,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9
2020-07-05,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.3
2020-07-05,Expenses,Groceries,"Fried Rice Ingredients @Fairprice Finest, Clementi Mall, Clementi",-7
2020-07-04,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.9
2020-07-03,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.6
2020-07-03,Expenses,Food,"Double Mc Spicy @Mc Donald's, Beauty World",-7
2020-07-02,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.5
2020-07-01,Income,Cash Withdrawal,,300
2020-07-01,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5.3
2020-07-01,Expenses,Food,"Whopper @Burger King, King Albert Park",-6
2020-07-01,Income,Balance from Previous Month,June's Balance,111
2020-06-30,Expenses,Groceries,"Mac & Cheese Ingredients @Fairprice, Tai Seng",-4.5
2020-06-30,Expenses,Food,"Mixed Rice @Food Republic, Break Talk HQ, Tai Seng",-5.6
2020-06-30,Expenses,Dessert,"Ice Cream @Udders, Beauty World",-6
2020-06-29,Expenses,Groceries,"Pasta Ingredients @Fairprice Finest, Clementi Mall, Clementi",-6.3
2020-06-29,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5
2020-06-29,Expenses,Package,"Package Consign @DHL, Tai Seng",-61
2020-06-28,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.6
2020-06-28,Expenses,Food,"Burger @Burger King, King Albert Park",-6
2020-06-27,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9
2020-06-26,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.3
2020-06-26,Expenses,Groceries,"Pasta Ingredients @Fairprice Finest, Clementi Mall, Clementi",-10.2
2020-06-25,Expenses,Food,"Fried Rice @Wok-Hey, Clementi Mall, Clementi",-6.8
2020-06-24,Expenses,Groceries,"Pasta Ingredients + Ice Cream @Fairprice Finest, Clementi Mall, Clementi",-8.6
