Date,Income/Expenses,Category,Memo,Amount
2019-05-08,Expenses,Food,"Chubby Burger @A&W, Jewel Changi, Changi",-11.1
2019-05-08,Expenses,Drinks,"Mineral Water @Buzz, Clementi",-1.0
2019-05-08,Expenses,Drinks,"Brown Sugar Deerioca @The Alley, Jewel Changi, Changi",-2.6
2019-05-08,Expenses,Food,"Truffle Chicken Burger @Burger King, Jewel Changi, Changi",-12.5
2019-05-07,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.7
2019-05-07,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-2.8
2019-05-06,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.0
2019-05-06,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-2.8
2019-05-05,Expenses,Snacks,"Sausage Bread @Coffee Bean & Tea Leaf, Holland Village",-2.0
2019-05-05,Expenses,Food,"Fried Rice @Holland Food Market, Holland Village",-4.5
2019-05-05,Expenses,Drinks,"Chocolate @Coffee Bean & Tea Leaf, Holland Village",-7.0
2019-05-04,Income,Cash Withdrawal,,200.0
2019-05-04,Expenses,Dessert,"Yogurt @Yolé, Wisma Atria, Orchard",-3.0
2019-05-04,Expenses,Food,"Fried Rice @Papa Ayam, 313 Somerset, Somerset",-11.5
2019-05-04,Expenses,Drinks,"Bubble Tea @Koi, 313 Somerset, Somerset",-1.8
2019-05-04,Expenses,Snacks,"Snacks @Old Chang Kee, Suntec City, Promenade",-2.5
2019-05-03,Expenses,Groceries,"Groceries @Cold Storage Jelita, Clementi",-5.3
2019-05-03,Expenses,Food,"Zinger Box @KFC, Jewel Changi, Changi",-9.5
2019-05-03,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.4
2019-05-02,Expenses,Food,"Noodle @Kampoeng, SIM, Clementi",-4.5
2019-05-02,Expenses,Transportation,Grab from Expo to SIM,-9.5
2019-05-02,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-4.2
2019-05-01,Expenses,Food,"Fried Rice @Holland Food Market, Holland Village",-4.5
2019-05-01,Expenses,Drinks,"Chocolate @Coffee Bean & Tea Leaf, Holland Village",-11.3
2019-05-01,Expenses,Drinks,"Mineral Water @Fairprice Finest, Clementi Mall, Clementi",-0.7
2019-05-01,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-4.4
2019-05-01,Income,Last Month's Balance,April's Balance,215.8
2019-04-30,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
2019-04-30,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.7
2019-04-29,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.6
2019-04-29,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
2019-04-28,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.4
2019-04-27,Expenses,Drinks,"Mineral Water @Fairprice Xtra, JEM, Jurong East",-1.0
2019-04-27,Expenses,Food,"Lunch @Yakun Kaya Toast, Clementi Mall, Clementi",-2.5
2019-04-27,Expenses,Food,"Hor Fun @Food Republic, Westgate, Jurong East",-6.0
2019-04-26,Expenses,Food,"Noodle @Kampoeng, SIM, Clementi",-4.5
2019-04-26,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
2019-04-25,Expenses,Food,"Nasi Lemak Burger @Mc. Donald's, Clementi",-7.3
2019-04-25,Expenses,Movies,"Avengers: Endgame @WE Cinema, 321 Clementi, Clementi",-9.5
2019-04-25,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
2019-04-24,Expenses,Food,"Zinger Meal @KFC, Clementi Mall, Clementi",-10.3
2019-04-24,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
2019-04-23,Expenses,Food,"Popcorn Chicken @Kampoeng, SIM, Clementi",-5.0
2019-04-23,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-2.8
2019-04-22,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.0
2019-04-22,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
2019-04-21,Income,Cash Withdrawal,,200.0
2019-04-21,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-3.5
2019-04-21,Expenses,Groceries,"Milk @Fairprice, Dover",-5.3
2019-04-21,Expenses,Telephone,"Top Up Singtel Card @7-Eleven, Clementi",-10.0
2019-04-20,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.7
2019-04-20,Expenses,Transportation,Top Up Ezlink Card,-50.0
2019-04-20,Expenses,Food,"Double Mc Spicy @Mc. Donald's, Clementi",-7.8
2019-04-19,Expenses,Food,"Crispy Chicken + Mc Flurry @Mc. Donald's, Jurong East",-8.8
2019-04-19,Expenses,Food,"Mini Wok @Food Republic, Westgate, Jurong East",-5.9
2019-04-18,Expenses,Food,"Japanese Food @Cook House, JEM, Jurong East",-5.5
2019-04-18,Expenses,Gift,,-6.0
2019-04-18,Expenses,Gift,,-7.9
2019-04-18,Expenses,Food,"Fried Rice @Foodfare, Clementi Mall, Clementi",-4.8
2019-04-18,Expenses,Groceries,"Bread + Peanut Butter @Fairprice Xtra, JEM, Jurong East",-6.0
2019-04-17,Expenses,Snacks,"Doughnut @Dunkin Donuts, City Sqaure Mall, Farrer Park",-1.9
2019-04-17,Expenses,Drinks,"Bubble Tea @Koi, City Square Mall, Farrer Park",-1.8
2019-04-17,Expenses,Snacks,"Mineral Water @Fairprice, City Square Mall, Farrer Park",-1.0
2019-04-17,Expenses,Food,"Prata @Bistro ABC, Geylang Bahru",-2.2
2019-04-17,Expenses,Food,"Zither Pack @KFC, City Square Mall, Farrer Park",-9.5
2019-04-16,Expenses,Snacks,"Mineral Water + Snacks @Shengshiong, Geylang Bahru",-2.3
2019-04-16,Expenses,Food,Mixed Rice @Geylang Bahru,-5.0
2019-04-15,Expenses,Dessert,"Ice Cream @Häagen-dazs, ION Orchard, Orchard",-10.5
2019-04-15,Expenses,Food,"Ayam Geprek @Papa Ayam, 313 Somerset, Somerset",-7.2
2019-04-15,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-2.8
2019-04-15,Expenses,Gift,,-7.5
2019-04-14,Expenses,Food,"Crispy Chicken @Mc.Donald's, Jurong East",-4.5
2019-04-14,Income,Cash Withdrawal,,200.0
2019-04-14,Expenses,Drinks,"Double Chocolate @Coffee Bean & Tea Leaf, JEM, Jurong East",-4.0
2019-04-13,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.5
2019-04-12,Expenses,Groceries,"Sunshine's Jumbo Pack @Fairprice Finest, Clementi Mall, Clementi",-2.1
2019-04-12,Expenses,Food,"Mala Hot Soup @Kampoeng, SIM, Clementi",-5.2
2019-04-12,Expenses,Snacks,"Snacks @Food Clique, SIM, Clementi",-3.7
2019-04-11,Expenses,Food,"Noodle @Kampoeng, SIM, Clementi",-4.5
2019-04-11,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
2019-04-10,Expenses,Food,"Noodle @Kampoeng, SIM, Clementi",-4.5
2019-04-10,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-2.8
2019-04-09,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.5
2019-04-09,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
2019-04-08,Expenses,Food,"Chicken Bowl @Kampoeng, SIM, Clementi",-5.0
2019-04-08,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.0
2019-04-07,Expenses,Groceries,"Sunshine's Bread + Mineral Water @Fairprice Xtra, JEM, Jurong East",-2.5
2019-04-07,Expenses,Food,"Mixed Rice @Food Republic, Westgate, Jurong East",-4.5
2019-04-07,Expenses,Drinks,"Coffee @Coffee Bean & Tea Leaf, JEM, Jurong East",-4.5
2019-04-06,Expenses,Food,"Bee Hoon @Foodfare, Clementi Mall, Clementi",-4.5
2019-04-05,Expenses,Food,"Japanese Food @Kampoeng, SIM, Clementi",-4.8
2019-04-05,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.0
2019-04-04,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.0
2019-04-04,Expenses,Haircut,Haircut @Dover,-10.0
2019-04-04,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-3.5
2019-04-04,Expenses,Gift,,-5.0
2019-04-04,Expenses,Food,"Food @Yakun Kaya Toast, Clementi Mall, Clementi",-1.9
2019-04-03,Expenses,Drinks,"Chocolate + Cake @Coffee Bean & Tea Leaf, JEM, Jurong East",-7.8
2019-04-03,Expenses,Food,"Mixed Rice @Food Republic, Westgate, Jurong East",-4.5
