Year Month,Year Month Label,Expenses,Carry-over,Real Income,Carryover,Surplus,Cumulative Surplus
2018-10-01,October 2018,87.35,0.0,180.0,0.0,92.65,92.65
2018-11-01,November 2018,371.45,92.65,400.0,92.65,121.19999999999999,213.85
2018-12-01,December 2018,538.8,121.2,500.0,121.19999999999999,82.40000000000009,296.2500000000001
2019-01-01,January 2019,488.4,82.4,500.0,82.40000000000009,94.00000000000011,390.2500000000002
2019-02-01,February 2019,439.2,94.0,500.0,94.00000000000011,154.80000000000013,545.0500000000004
2019-03-01,March 2019,539.5,154.8,500.0,154.80000000000013,115.30000000000018,660.3500000000006
2019-04-01,April 2019,463.5,115.3,600.0,115.30000000000018,251.80000000000018,912.1500000000008
2019-05-01,May 2019,597.5,215.8,500.0,251.80000000000018,154.30000000000018,1066.450000000001
2019-06-01,June 2019,0.0,,0.0,251.80000000000018,0.0,1066.450000000001
2019-07-01,July 2019,0.0,,0.0,251.80000000000018,0.0,1066.450000000001
2019-08-01,August 2019,130.4,118.3,100.0,154.30000000000018,123.90000000000018,1190.350000000001
2019-09-01,September 2019,567.9,87.9,700.0,123.90000000000018,256.0000000000002,1446.3500000000013
2019-10-01,October 2019,562.0,220.0,600.0,256.0000000000002,294.0000000000002,1740.3500000000015
2019-11-01,November 2019,569.8,258.0,600.0,294.0000000000002,324.2000000000003,2064.550000000002
2019-12-01,December 2019,580.3,288.2,600.0,324.2000000000003,343.9000000000003,2408.4500000000025
2020-01-01,January 2020,477.9,307.9,600.0,343.9000000000003,466.00000000000034,2874.450000000003
2020-02-01,February 2020,558.6,430.0,400.0,466.00000000000034,307.4000000000003,3181.850000000003
2020-03-01,March 2020,530.0,271.4,600.0,307.4000000000003,377.4000000000003,3559.2500000000036
2020-04-01,April 2020,378.3,341.4,300.0,377.4000000000003,299.1000000000003,3858.350000000004
2020-05-01,May 2020,323.0,263.1,300.0,299.1000000000003,276.10000000000036,4134.450000000004
2020-06-01,June 2020,429.1,240.1,300.0,276.10000000000036,147.00000000000034,4281.450000000004
2020-07-01,July 2020,480.9,111.0,600.0,147.00000000000034,266.10000000000036,4547.550000000005
2020-08-01,August 2020,497.5,218.2,600.0,266.10000000000036,368.60000000000036,4916.150000000005
2020-09-01,September 2020,498.9,320.7,300.0,368.60000000000036,169.7000000000004,5085.850000000006
