Date,Income/Expenses,Category,Memo,Amount
2021-07-30,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.6
2021-07-29,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.5
2021-07-28,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10
2021-07-27,Expenses,Gift,,-44.9
2021-07-27,Expenses,Food,"Pizza @Pezzo, Jurong Point, Boon Lay",-24.9
2021-07-27,Expenses,Drinks,"Bubble Tea @Li Ho, JEM, Jurong East",-1.9
2021-07-26,Expenses,Electronics,"AA10 Energizer @Fairprice Finest, Clementi Mall, Clementi",-12.6
2021-07-26,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10
2021-07-25,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.1
2021-07-24,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.6
2021-07-23,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.5
2021-07-22,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.6
2021-07-21,Expenses,Food,"Chicken @Wingstop, Vivo City, Harbourfront",-12
2021-07-21,Expenses,Drinks,"Bubble Tea @LiHo, Vivo City, Harbourfront",-2.4
2021-07-21,Expenses,Food,"Rapokki Set @Jinjja, Clementi Mall, Clementi",-9.8
2021-07-20,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.6
2021-07-19,Expenses,Food,"Double Mc Spicy @Mc Donald's, Clementi",-10.2
2021-07-19,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.3
2021-07-18,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10
2021-07-17,Income,Cash Withdrawal,,300
2021-07-17,Expenses,Electronics,"Razer Basilisk X Hyperspeed @Challenger, Clementi Mall, Clementi",-68.8
2021-07-17,Expenses,Food,"Mixed Rice @Food Fest, SIM, Clementi",-9
2021-07-16,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.7
2021-07-15,Expenses,Body Care,"Bioré Face Wash @Watson, Raffles City, City Hall",-12.9
2021-07-15,Expenses,Gift,,-15.5
2021-07-15,Expenses,Food,"Sushi @Genki Sushi, Suntec City, Promenade",-11.4
2021-07-15,Expenses,Drinks,"Bubble Tea @Gong Cha, Marina Square, Promenade",-2.3
2021-07-15,Expenses,Food,"Brunch @Tiong Bahru Bakery, Raffles City, City Hall",-22.4
2021-07-14,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.5
2021-07-13,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.5
2021-07-12,Expenses,Food,"Swedish Meatball @IKEA, JEM, Jurong East",-15.9
2021-07-12,Expenses,Clothing,"Underwear @Uniqlo, JEM, Jurong East",-29.8
2021-07-12,Expenses,Drinks,"Bubble Tea @Koi, Westgate, Jurong East",-2.3
2021-07-12,Expenses,Movies,"Fast and Furious 9 @Cathay Cineplex, JEM, Jurong East",-7
