Date,Income/Expenses,Category,Memo,Amount
2022-07-30,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5.8
2022-07-29,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.2
2022-07-29,Expenses,Food,Fish Soup @Tanjong Pagar,-9
2022-07-28,Expenses,Drinks,"Chocolate Milk @Koi, Clementi Mall, Clementi",-2.4
2022-07-28,Expenses,Food,"Saba Fish Bento @Ha Jun Korean, Clementi Mall, Clementi",-5.8
2022-07-28,Expenses,Food,Mixed Rice @Tanjong Pagar,-5.5
2022-07-27,Expenses,Food,Mixed Rice @Tanjong Pagar,-6
2022-07-27,Expenses,Dessert,"Pancake @Fluff Stack, Paya Lebar Quarter, Paya Lebar",-9.4
2022-07-27,Expenses,Food,"Truffle Alfredo @Collin's, Paya Lebar Quarter, Paya Lebar",-17.1
2022-07-26,Expenses,Food,Nasi Lemak @Tanjong Pagar,-7.1
2022-07-26,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.9
2022-07-25,Expenses,Food,Mixed Rice @Tanjong Pagar,-6
2022-07-25,Expenses,Food,"Sushi @Sushiro, Bedok Mall, Bedok",-16.6
2022-07-24,Expenses,Food,"Dimsum @Kimly Dimsum, Clementi",-11.3
2022-07-24,Expenses,Food,"Breakfast @Mc Donald's, Clementi",-8.5
2022-07-23,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.6
2022-07-22,Expenses,Drinks,"Milk Green Tea @LiHo, Clementi Mall, Clementi",-2.7
2022-07-22,Expenses,Food,"Rapokki Set @Jinjja, Clementi Mall, Clementi",-11.6
2022-07-22,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5.3
2022-07-21,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.3
2022-07-21,Expenses,Food,Mixed Rice @Tanjong Pagar,-6
2022-07-20,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2022-07-20,Income,Cash Withdrawal,,300
2022-07-20,Expenses,Food,"Sushi @Genki Sushi, 313 Somerset, Somerset",-15.8
