Date,Income/Expenses,Category,Memo,Amount
2023-10-16,Income,Cash Withdrawal,,300
2023-10-15,Expenses,Clothing,"T-Shirt @Uniqlo, Vivo City, Harbourfront",-19.9
2023-10-15,Expenses,Food,"Western Food @Gastronomia, Vivo City, Harbourfront",-26.4
2023-10-15,Expenses,Dessert,"Dessert @Coffee Bean & Tea Leaf, Vivo City, Harbourfront",-5
2023-10-15,Expenses,Sport,"Gym Session @Gym Pod, Clementi",-11.9
2023-10-15,Expenses,Food,"Breakfast @Mc Donald's, Clementi",-7.2
2023-10-14,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.5
2023-10-14,Expenses,Groceries,"Groceries @Fairprice Finest, Clementi Mall, Clementi",-23.5
2023-10-14,Expenses,Home,AC Service Fee,-30
2023-10-13,Expenses,Food,Fried Rice @Clementi,-7.7
2023-10-13,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-10-12,Expenses,Food,"Mexican Food @Guzman Y Gomez, 313 Somerset, Somerset",-17.2
2023-10-12,Expenses,Drinks,"Oolong Tea @Bawang Chagee, Wisma Atria, Orchard",-3.8
2023-10-12,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-10-11,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4
2023-10-11,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-10-10,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-10-10,Expenses,Drinks,"Milk Tea @Heytea, 313 Somerset, Somerset",-5.4
2023-10-10,Expenses,Food,"Western Food @Marché Mövenpick, 313 Somerset, Somerset",-19.8
2023-10-09,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.1
2023-10-09,Expenses,Food,Mixed Rice @Tanjong Pagar,-6
2023-10-08,Expenses,Sport,"Gym Session @Gym Pod, Holland Village",-11.9
2023-10-08,Expenses,Food,"Burger @Carl's Junior, Star Vista, Buona Vista",-15.5
2023-10-08,Expenses,Food,"Spaghetti + Panini @Gastronomia, Holland Village",-20.9
2023-10-07,Expenses,Food,"Western Food @Common Grill, Clementi",-14.5
2023-10-07,Expenses,Food,"Breakfast Wrap @Mc Donald's, Clementi",-7.6
2023-10-06,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5.1
2023-10-06,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-10-05,Expenses,Dessert,"Dessert @Maccha House, Orchard Central, Somerset",-13.5
2023-10-05,Expenses,Food,"Sushi @Sushiro, Wisma Atria, Orchard",-15.8
2023-10-04,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.7
2023-10-04,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-10-03,Expenses,Food,"Mixed Rice @Kopitiam, Terminal 4, Changi",-11.5
2023-10-03,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3
2023-10-02,Expenses,Transportation,Top Up Ezlink Card,-50
2023-10-02,Expenses,Food,"Noodle @Maxwell Food Center, Maxwell",-6
2023-10-02,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-10-01,Income,Cash Withdrawal,,300
2023-10-01,Income,Balance from Previous Month,September's Balance,188.9
2023-09-28,Expenses,Food,"Black Chicken Soup @Rasapura, Marina Bay Sands, Bayfront",-10.8
2023-09-27,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-09-26,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-09-25,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-09-25,Expenses,Food,"Lotus Root Soup @Lau Pa Sat, Raffles Place",-6.5
2023-09-22,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-09-21,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
