Date,Income/Expenses,Category,Memo,Amount
2023-07-30,Expenses,Food,"Rice Box @MOS Burger, JEM, Jurong East",-10.3
2023-07-30,Expenses,Food,"Claypot Chicken Rice @Koufu, Commonwealth",-6.5
2023-07-29,Expenses,Food,"Noodle @Eat, Clementi Mall, Clementi",-6.3
2023-07-29,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.7
2023-07-28,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.7
2023-07-28,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-6.5
2023-07-27,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.3
2023-07-27,Expenses,Food,Soup @Tanjong Pagar,-7.5
2023-07-26,Expenses,Food,"Noodle @Eat, Clementi Mall, Clementi",-5.2
2023-07-26,Expenses,Food,Mixed Rice @Tanjong Pagar,-6
2023-07-25,Expenses,Food,"Lotus Root Soup @Lao 2 Soup, Clementi Mall, Clementi",-6.2
2023-07-25,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.2
2023-07-24,Expenses,Food,"Noodle @Eat, Clementi Mall, Clementi",-6.3
2023-07-24,Expenses,Food,Mixed Rice @Tanjong Pagar,-6
2023-07-23,Expenses,Food,Lotus Root Soup @Commonwealth,-5.7
2023-07-23,Expenses,Food,"Sushi @Sushiro, Wisma Atria, Orchard",-20.1
2023-07-23,Expenses,Telephone,Top Up Singtel Card,-13
2023-07-22,Expenses,Haircut,"Haircut @The Base Salon, Clementi",-22
2023-07-22,Expenses,Food,"Fried Rice @Food Loft, Clementi",-7.6
2023-07-22,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.6
2023-07-21,Expenses,Food,"Noodle @Eat, Clementi Mall, Clementi",-5.2
2023-07-21,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-07-20,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.6
2023-07-19,Income,Cash Withdrawal,,300
2023-07-19,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5.6
2023-07-19,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-07-18,Expenses,Groceries,"Muesli Bar @Fairprice Finest, Clementi Mall, Clementi",-18.6
2023-07-18,Expenses,Food,"Italian Food @IO Italian Osteria, Hill V2, Hillview",-44.5
2023-07-18,Expenses,Food,"Burger @Meatsmith, Tanjong Pagar",-10.8
2023-07-17,Expenses,Food,"Food @Food Bazaar, Takashimaya, Orchard",-46
2023-07-17,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-07-16,Expenses,Dessert,"Brownies @Dr Kitchen, Takashimaya, Orchard",-4.8
2023-07-16,Expenses,Food,"Sushi @Sushiro, Shaw Center, Orchard",-13.1
2023-07-16,Expenses,Food,"Burgers @Eggslut, Orchard",-14.7
2023-07-15,Expenses,Food,"Fried Chicken @Popeye's, IMM, Jurong East",-15
2023-07-14,Expenses,Food,"Korean Food @Obba Jjang, Tanjong Pagar",-35
2023-07-14,Expenses,Food,Noodle @Tanjong Pagar,-12.8
2023-07-13,Expenses,Food,"Wonton Noodle @Boleh Boleh, Bugis Junction, Bugis",-5.5
2023-07-13,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-07-12,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.3
2023-07-12,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.8
2023-07-11,Expenses,Dessert,"Yogurt @Yolé, Vivo City, Harbourfront",-3.8
2023-07-11,Expenses,Food,"Western Food @Marché Mövenpick, Vivo City, Harbourfront",-22.8
2023-07-11,Expenses,Food,Mixed Rice @Tanjong Pagar,-4.2
2023-07-10,Income,Cash Withdrawal,,300
2023-07-10,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5.2
2023-07-10,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-07-09,Expenses,Food,"Korean Food @Pocha, JEM, Jurong East",-23.5
2023-07-09,Expenses,Fruits,Papaya @Clementi,-0.8
2023-07-09,Expenses,Transportation,Top Up Ezlink Card,-50
2023-07-08,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-7.3
2023-07-07,Expenses,Food,"Sushi @Sushiro, Suntec City, Promenade",-16
2023-07-07,Expenses,Food,Mala @Tanjong Pagar,-13.1
2023-07-06,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4
2023-07-06,Expenses,Food,Mixed Rice @Tanjong Pagar,-7
2023-07-06,Expenses,Telephone,Top Up Singtel Card,-10
2023-07-05,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.1
2023-07-05,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-07-04,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.3
2023-07-04,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.3
2023-07-03,Expenses,Food,"Sushi @Sushiro, Shaw Center, Orchard",-19.9
2023-07-03,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-07-02,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.2
2023-07-01,Expenses,Food,"Chicken Chop & Pork Chop @Collin's, Clementi",-12.5
2023-07-01,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5
2023-07-01,Income,Balance from Previous Month,June's Balance,175.4
2023-06-30,Income,Balance Adjustment,,100
2023-06-30,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-06-30,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4
2023-06-29,Expenses,Drinks,"Tea Guan Yin Latte @Ba Wang Chagee, Suntec City, Promenade",-3.1
2023-06-29,Expenses,Food,"Sushi @Sushiro, Suntec City, Promenade",-17.8
2023-06-29,Expenses,Food,"Rapokki @Jinjja, Clementi Mall, Clementi",-11.2
2023-06-28,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-7.6
2023-06-27,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.6
2023-06-27,Expenses,Food,Mixed Rice @Tanjong Pagar,-7
2023-06-26,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5.2
2023-06-26,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-06-25,Expenses,Food,"Chicken Chop and Pork Ribs @Collin's, Clementi",-19.5
2023-06-25,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.8
2023-06-24,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.5
2023-06-23,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5
2023-06-23,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-06-22,Expenses,Food,"Double Mc Spicy @Mc Donald's, Terminal 3, Changi",-10.8
2023-06-22,Expenses,Food,Mixed Rice @Tanjong Pagar,-6
2023-06-21,Income,Cash Withdrawal,,300
2023-06-21,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.8
2023-06-21,Expenses,Food,Mixed Rice @Tanjong Pagar,-7.3
2023-06-20,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.1
2023-06-20,Expenses,Body Care,"Face Wash @The Face Shop, Clementi Mall, Clementi",-61
2023-06-20,Expenses,Food,Mixed Rice @Tanjong Pagar,-7
2023-06-19,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5.3
2023-06-19,Expenses,Food,Mixed Rice @Tanjong Pagar,-7
2023-06-18,Expenses,Transportation,Top Up Ezlink Card,-50
2023-06-18,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.3
2023-06-17,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.6
2023-06-17,Expenses,Food,"The Main Event @O'Coffee Club, Terminal 4, Changi",-21.9
2023-06-16,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5.3
