Date,Year,ISO Year,Month,Month Label,Week,Week Label,Day,Category,Item,Vendor,Vendor Location,District,Income/Expenses,Amount,Formatted Date,Outlier
2020-02-01,2020,2020,2,February,5,W5,Saturday,Balance from Previous Month,January's Balance,Blank,Blank,Blank,Income,430.0,01/02/2020,False
2020-01-25,2020,2020,1,January,4,W4,Saturday,Others,Others,Blank,Blank,Blank,Income,400.0,25/01/2020,False
2020-01-10,2020,2020,1,January,2,W2,Friday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,10/01/2020,False
2020-01-01,2020,2020,1,January,1,W1,Wednesday,Balance from Previous Month,January's Balance,Blank,Blank,Blank,Income,307.9,01/01/2020,False
2019-12-21,2019,2019,12,December,51,W51,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,21/12/2019,False
2019-12-08,2019,2019,12,December,49,W49,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,08/12/2019,False
2019-12-01,2019,2019,12,December,48,W48,Sunday,Balance from Previous Month,November's Balance,Blank,Blank,Blank,Income,288.2,01/12/2019,False
2019-11-30,2019,2019,11,November,48,W48,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0,30/11/2019,False
2019-11-19,2019,2019,11,November,47,W47,Tuesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,19/11/2019,False
2019-11-09,2019,2019,11,November,45,W45,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,09/11/2019,False
2019-11-01,2019,2019,11,November,44,W44,Friday,Balance from Previous Month,October's Balance,Blank,Blank,Blank,Income,258.0,01/11/2019,False
2019-10-23,2019,2019,10,October,43,W43,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,23/10/2019,False
2019-10-16,2019,2019,10,October,42,W42,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,16/10/2019,False
2019-10-08,2019,2019,10,October,41,W41,Tuesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,08/10/2019,False
2019-10-01,2019,2019,10,October,40,W40,Tuesday,Balance from Previous Month,September's Balance,Blank,Blank,Blank,Income,220.0,01/10/2019,False
2019-09-25,2019,2019,9,September,39,W39,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,25/09/2019,False
2019-09-14,2019,2019,9,September,37,W37,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0,14/09/2019,False
2019-09-09,2019,2019,9,September,37,W37,Monday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,09/09/2019,False
2019-09-01,2019,2019,9,September,35,W35,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0,01/09/2019,False
2019-09-01,2019,2019,9,September,35,W35,Sunday,Balance from Previous Month,August's Balance,Blank,Blank,Blank,Income,87.9,01/09/2019,False
2019-08-29,2019,2019,8,August,35,W35,Thursday,Balance from Previous Month,May's Balance,Blank,Blank,Blank,Income,118.3,29/08/2019,False
2019-08-29,2019,2019,8,August,35,W35,Thursday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0,29/08/2019,False
2021-07-17,2021,2021,7,July,28,W28,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,17/07/2021,False
2021-07-03,2021,2021,7,July,26,W26,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,03/07/2021,False
2021-07-01,2021,2021,7,July,26,W26,Thursday,Balance from Previous Month,June's Balance,Blank,Blank,Blank,Income,46.0,01/07/2021,False
2021-06-08,2021,2021,6,June,23,W23,Tuesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,08/06/2021,False
2021-06-01,2021,2021,6,June,22,W22,Tuesday,Balance from Previous Month,May's Balance,Blank,Blank,Blank,Income,103.6,01/06/2021,False
2021-05-13,2021,2021,5,May,19,W19,Thursday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,13/05/2021,False
2021-05-01,2021,2021,5,May,17,W17,Saturday,Balance from Previous Month,April's Balance,Blank,Blank,Blank,Income,161.1,01/05/2021,False
2021-04-27,2021,2021,4,April,17,W17,Tuesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,27/04/2021,False
2021-04-01,2021,2021,4,April,13,W13,Thursday,Balance from Previous Month,March's Balance,Blank,Blank,Blank,Income,381.5,01/04/2021,False
2021-03-31,2021,2021,3,March,13,W13,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,31/03/2021,False
2021-03-19,2021,2021,3,March,11,W11,Friday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,19/03/2021,False
